"","V1","V2","V3","V4","V5","V6"
"318","MID","APXMIDP",20180106,2,58.41,656.4
"418","MID","APXMIDP",20180106,3,56.83,549.15
"55","MID","APXMIDP",20180106,4,55.05,398.4
"65","MID","APXMIDP",20180106,5,52.82,722.4
"75","MID","APXMIDP",20180106,6,51.97,739.3
"85","MID","APXMIDP",20180106,7,49.42,484.6
"95","MID","APXMIDP",20180106,8,43.76,395.9
"105","MID","APXMIDP",20180106,9,42.91,416.1
"115","MID","APXMIDP",20180106,10,41.95,535.9
"125","MID","APXMIDP",20180106,11,40.02,549
"135","MID","APXMIDP",20180106,12,39.61,602.15
"145","MID","APXMIDP",20180106,13,42.55,553.95
"155","MID","APXMIDP",20180106,14,41.89,608.6
"165","MID","APXMIDP",20180106,15,42.79,735
"175","MID","APXMIDP",20180106,16,44.01,535
"185","MID","APXMIDP",20180106,17,44.7,588.25
"195","MID","APXMIDP",20180106,18,54.55,641.1
"205","MID","APXMIDP",20180106,19,55.48,636.15
"219","MID","APXMIDP",20180106,20,54.18,612.8
"225","MID","APXMIDP",20180106,21,53.89,567.35
"235","MID","APXMIDP",20180106,22,53,644.7
"245","MID","APXMIDP",20180106,23,54.1,550.2
"255","MID","APXMIDP",20180106,24,52.61,536
"265","MID","APXMIDP",20180106,25,51.33,660
"275","MID","APXMIDP",20180106,26,53.09,689.05
"285","MID","APXMIDP",20180106,27,53.5,669.15
"295","MID","APXMIDP",20180106,28,49.64,515.35
"305","MID","APXMIDP",20180106,29,47.23,585.1
"319","MID","APXMIDP",20180106,30,45.11,855.45
"325","MID","APXMIDP",20180106,31,50.46,1054.85
"335","MID","APXMIDP",20180106,32,50.94,932.35
"345","MID","APXMIDP",20180106,33,53.24,795.45
"355","MID","APXMIDP",20180106,34,73.48,926.05
"365","MID","APXMIDP",20180106,35,79.5,688.9
"375","MID","APXMIDP",20180106,36,81.84,712.1
"385","MID","APXMIDP",20180106,37,81.43,812.5
"395","MID","APXMIDP",20180106,38,70.96,599.95
"405","MID","APXMIDP",20180106,39,67.27,549.15
"419","MID","APXMIDP",20180106,40,48.87,279.5
"425","MID","APXMIDP",20180106,41,49.89,458.7
"435","MID","APXMIDP",20180106,42,47.51,592.8
"445","MID","APXMIDP",20180106,43,44.33,1017.05
"455","MID","APXMIDP",20180106,44,44.3,901.7
"465","MID","APXMIDP",20180106,45,44.9,672.5
"475","MID","APXMIDP",20180106,46,44.5,1049
"485","MID","APXMIDP",20180106,47,54.09,420.9
"494","MID","APXMIDP",20180106,48,49.46,389.75
"220","MID","APXMIDP",20180107,1,47.8,279.35
"320","MID","APXMIDP",20180107,2,47.34,266.1
"420","MID","APXMIDP",20180107,3,44.63,243.05
"56","MID","APXMIDP",20180107,4,43.43,314.65
"66","MID","APXMIDP",20180107,5,42.68,365.05
"76","MID","APXMIDP",20180107,6,42.11,429.55
"86","MID","APXMIDP",20180107,7,42.65,333.7
"96","MID","APXMIDP",20180107,8,42.09,390
"106","MID","APXMIDP",20180107,9,42.17,406.05
"116","MID","APXMIDP",20180107,10,42.57,473.55
"126","MID","APXMIDP",20180107,11,43.17,494.75
"136","MID","APXMIDP",20180107,12,41.68,349.05
"146","MID","APXMIDP",20180107,13,42.75,369.85
"156","MID","APXMIDP",20180107,14,42.86,497.55
"166","MID","APXMIDP",20180107,15,42.77,1058.2
"176","MID","APXMIDP",20180107,16,42.79,903.6
"186","MID","APXMIDP",20180107,17,41.92,985.4
"196","MID","APXMIDP",20180107,18,42.84,887.5
"206","MID","APXMIDP",20180107,19,45.28,699.25
"2110","MID","APXMIDP",20180107,20,47.99,795
"226","MID","APXMIDP",20180107,21,49.29,652.5
"236","MID","APXMIDP",20180107,22,48.85,711.55
"246","MID","APXMIDP",20180107,23,52.73,1074.35
"256","MID","APXMIDP",20180107,24,55.2,1064.75
"266","MID","APXMIDP",20180107,25,50.92,853.85
"276","MID","APXMIDP",20180107,26,48.12,839.45
"286","MID","APXMIDP",20180107,27,45.91,749.45
"296","MID","APXMIDP",20180107,28,45.79,863.45
"306","MID","APXMIDP",20180107,29,46.17,879.85
"3110","MID","APXMIDP",20180107,30,46.57,713.95
"326","MID","APXMIDP",20180107,31,51.59,728.8
"336","MID","APXMIDP",20180107,32,49.96,689.35
"346","MID","APXMIDP",20180107,33,53.29,825.5
"356","MID","APXMIDP",20180107,34,73.42,816.6
"366","MID","APXMIDP",20180107,35,82.96,811.85
"376","MID","APXMIDP",20180107,36,80.55,743
"386","MID","APXMIDP",20180107,37,75.74,607.65
"396","MID","APXMIDP",20180107,38,62.59,666.95
"406","MID","APXMIDP",20180107,39,49.87,780.75
"4110","MID","APXMIDP",20180107,40,50.26,782.85
"426","MID","APXMIDP",20180107,41,57.3,765.65
"436","MID","APXMIDP",20180107,42,54.19,827.5
"446","MID","APXMIDP",20180107,43,50.55,962.5
"456","MID","APXMIDP",20180107,44,47.84,1317.2
"466","MID","APXMIDP",20180107,45,47.02,1236.8
"476","MID","APXMIDP",20180107,46,45.58,1248.8
"486","MID","APXMIDP",20180107,47,44.53,744.2
"495","MID","APXMIDP",20180107,48,44.43,421.65
"227","MID","APXMIDP",20180108,1,44.12,482.6
"327","MID","APXMIDP",20180108,2,44.88,387.15
"427","MID","APXMIDP",20180108,3,47.13,563.25
"57","MID","APXMIDP",20180108,4,44.81,325.65
"67","MID","APXMIDP",20180108,5,43.42,340.3
"77","MID","APXMIDP",20180108,6,42.81,444.25
"87","MID","APXMIDP",20180108,7,41.37,284.15
